step,lr
1,1e-06
2,2e-06
3,3e-06
4,4e-06
5,5e-06
6,6e-06
7,7e-06
8,8e-06
9,9e-06
10,1e-05
11,1.1e-05
12,1.2e-05
13,1.3000000000000001e-05
14,1.4e-05
15,1.4999999999999999e-05
16,1.6e-05
17,1.7e-05
18,1.8e-05
19,1.9e-05
20,2e-05
21,2.1000000000000002e-05
22,2.2e-05
23,2.3e-05
24,2.4e-05
25,2.5e-05
26,2.6000000000000002e-05
27,2.7e-05
28,2.8e-05
29,2.9e-05
30,2.9999999999999997e-05
31,3.1e-05
32,3.2e-05
33,3.3e-05
34,3.4e-05
35,3.5000000000000004e-05
36,3.6e-05
37,3.7e-05
38,3.8e-05
39,3.9e-05
40,4e-05
41,4.1e-05
42,4.2000000000000004e-05
43,4.3e-05
44,4.4e-05
45,4.4999999999999996e-05
46,4.6e-05
47,4.7e-05
48,4.8e-05
49,4.9000000000000005e-05
50,5e-05
51,5.1000000000000006e-05
52,5.2000000000000004e-05
53,5.3e-05
54,5.4e-05
55,5.5e-05
56,5.6e-05
57,5.7e-05
58,5.8e-05
59,5.9000000000000004e-05
60,5.9999999999999995e-05
61,6.1e-05
62,6.2e-05
63,6.3e-05
64,6.4e-05
65,6.500000000000001e-05
66,6.6e-05
67,6.7e-05
68,6.8e-05
69,6.900000000000001e-05
70,7.000000000000001e-05
71,7.1e-05
72,7.2e-05
73,7.3e-05
74,7.4e-05
75,7.5e-05
76,7.6e-05
77,7.7e-05
78,7.8e-05
79,7.9e-05
80,8e-05
81,8.1e-05
82,8.2e-05
83,8.3e-05
84,8.400000000000001e-05
85,8.5e-05
86,8.6e-05
87,8.700000000000001e-05
88,8.8e-05
89,8.9e-05
90,8.999999999999999e-05
91,9.1e-05
92,9.2e-05
93,9.3e-05
94,9.4e-05
95,9.5e-05
96,9.6e-05
97,9.7e-05
98,9.800000000000001e-05
99,9.900000000000001e-05
100,0.0001
101,0.000101
102,0.00010200000000000001
103,0.00010300000000000001
104,0.00010400000000000001
105,0.00010499999999999999
106,0.000106
107,0.000107
108,0.000108
109,0.00010899999999999999
110,0.00011
111,0.000111
112,0.000112
113,0.00011300000000000001
114,0.000114
115,0.000115
116,0.000116
117,0.00011700000000000001
118,0.00011800000000000001
119,0.000119
120,0.00011999999999999999
121,0.000121
122,0.000122
123,0.000123
124,0.000124
125,0.000125
126,0.000126
127,0.000127
128,0.000128
129,0.000129
130,0.00013000000000000002
131,0.000131
132,0.000132
133,0.000133
134,0.000134
135,0.000135
136,0.000136
137,0.00013700000000000002
138,0.00013800000000000002
139,0.00013900000000000002
140,0.00014000000000000001
141,0.000141
142,0.000142
143,0.000143
144,0.000144
145,0.000145
146,0.000146
147,0.000147
148,0.000148
149,0.000149
150,0.00015
151,0.00015099999999999998
152,0.000152
153,0.000153
154,0.000154
155,0.000155
156,0.000156
157,0.000157
158,0.000158
159,0.00015900000000000002
160,0.00016
161,0.000161
162,0.000162
163,0.000163
164,0.000164
165,0.000165
166,0.000166
167,0.00016700000000000002
168,0.00016800000000000002
169,0.00016900000000000002
170,0.00017
171,0.000171
172,0.000172
173,0.000173
174,0.00017400000000000003
175,0.00017500000000000003
176,0.000176
177,0.000177
178,0.000178
179,0.000179
180,0.00017999999999999998
181,0.00018099999999999998
182,0.000182
183,0.000183
184,0.000184
185,0.000185
186,0.000186
187,0.000187
188,0.000188
189,0.000189
190,0.00019
191,0.000191
192,0.000192
193,0.000193
194,0.000194
195,0.000195
196,0.00019600000000000002
197,0.00019700000000000002
198,0.00019800000000000002
199,0.000199
200,0.0002
201,0.000201
202,0.000202
203,0.000203
204,0.00020400000000000003
205,0.00020500000000000002
206,0.00020600000000000002
207,0.00020700000000000002
208,0.00020800000000000001
209,0.00020899999999999998
210,0.00020999999999999998
211,0.000211
212,0.000212
213,0.000213
214,0.000214
215,0.000215
216,0.000216
217,0.000217
218,0.00021799999999999999
219,0.000219
220,0.00022
221,0.000221
222,0.000222
223,0.000223
224,0.000224
225,0.000225
226,0.00022600000000000002
227,0.00022700000000000002
228,0.000228
229,0.000229
230,0.00023
231,0.000231
232,0.000232
233,0.00023300000000000003
234,0.00023400000000000002
235,0.00023500000000000002
236,0.00023600000000000002
237,0.00023700000000000001
238,0.000238
239,0.000239
240,0.00023999999999999998
241,0.000241
242,0.000242
243,0.000243
244,0.000244
245,0.000245
246,0.000246
247,0.000247
248,0.000248
249,0.000249
250,0.00025
251,0.000251
252,0.000252
253,0.000253
254,0.000254
255,0.000255
256,0.000256
257,0.000257
258,0.000258
259,0.000259
260,0.00026000000000000003
261,0.000261
262,0.000262
263,0.000263
264,0.000264
265,0.000265
266,0.000266
267,0.00026700000000000004
268,0.000268
269,0.00026900000000000003
270,0.00027
271,0.00027100000000000003
272,0.000272
273,0.000273
274,0.00027400000000000005
275,0.000275
276,0.00027600000000000004
277,0.000277
278,0.00027800000000000004
279,0.000279
280,0.00028000000000000003
281,0.00028100000000000005
282,0.000282
283,0.00028300000000000005
284,0.000284
285,0.00028500000000000004
286,0.000286
287,0.00028700000000000004
288,0.000288
289,0.000289
290,0.00029
291,0.00029099999999999997
292,0.000292
293,0.00029299999999999997
294,0.000294
295,0.00029499999999999996
296,0.000296
297,0.000297
298,0.000298
299,0.000299
300,0.0003
301,0.000301
302,0.00030199999999999997
303,0.000303
304,0.000304
305,0.000305
306,0.000306
307,0.000307
308,0.000308
309,0.000309
310,0.00031
311,0.000311
312,0.000312
313,0.000313
314,0.000314
315,0.000315
316,0.000316
317,0.000317
318,0.00031800000000000003
319,0.000319
320,0.00032
321,0.000321
322,0.000322
323,0.000323
324,0.000324
325,0.000325
326,0.000326
327,0.00032700000000000003
328,0.000328
329,0.00032900000000000003
330,0.00033
331,0.000331
332,0.000332
333,0.000333
334,0.00033400000000000004
335,0.000335
336,0.00033600000000000004
337,0.000337
338,0.00033800000000000003
339,0.000339
340,0.00034
341,0.00034100000000000005
342,0.000342
343,0.00034300000000000004
344,0.000344
345,0.00034500000000000004
346,0.000346
347,0.00034700000000000003
348,0.00034800000000000006
349,0.000349
350,0.00035000000000000005
351,0.000351
352,0.000352
353,0.00035299999999999996
354,0.000354
355,0.00035499999999999996
356,0.000356
357,0.000357
358,0.000358
359,0.000359
360,0.00035999999999999997
361,0.000361
362,0.00036199999999999996
363,0.000363
364,0.000364
365,0.000365
366,0.000366
367,0.000367
368,0.000368
369,0.00036899999999999997
370,0.00037
371,0.000371
372,0.000372
373,0.000373
374,0.000374
375,0.000375
376,0.000376
377,0.000377
378,0.000378
379,0.000379
380,0.00038
381,0.000381
382,0.000382
383,0.000383
384,0.000384
385,0.00038500000000000003
386,0.000386
387,0.00038700000000000003
388,0.000388
389,0.000389
390,0.00039
391,0.000391
392,0.00039200000000000004
393,0.000393
394,0.00039400000000000004
395,0.000395
396,0.00039600000000000003
397,0.000397
398,0.000398
399,0.000399
400,0.0004
401,0.00040100000000000004
402,0.000402
403,0.00040300000000000004
404,0.000404
405,0.00040500000000000003
406,0.000406
407,0.000407
408,0.00040800000000000005
409,0.000409
410,0.00041000000000000005
411,0.000411
412,0.00041200000000000004
413,0.000413
414,0.00041400000000000003
415,0.00041500000000000006
416,0.00041600000000000003
417,0.000417
418,0.00041799999999999997
419,0.000419
420,0.00041999999999999996
421,0.000421
422,0.000422
423,0.000423
424,0.000424
425,0.000425
426,0.000426
427,0.00042699999999999997
428,0.000428
429,0.000429
430,0.00043
431,0.000431
432,0.000432
433,0.000433
434,0.000434
435,0.000435
436,0.00043599999999999997
437,0.000437
438,0.000438
439,0.000439
440,0.00044
441,0.000441
442,0.000442
443,0.000443
444,0.000444
445,0.00044500000000000003
446,0.000446
447,0.000447
448,0.000448
449,0.000449
450,0.00045
451,0.000451
452,0.00045200000000000004
453,0.000453
454,0.00045400000000000003
455,0.000455
456,0.000456
457,0.000457
458,0.000458
459,0.00045900000000000004
460,0.00046
461,0.00046100000000000004
462,0.000462
463,0.00046300000000000003
464,0.000464
465,0.000465
466,0.00046600000000000005
467,0.000467
468,0.00046800000000000005
469,0.000469
470,0.00047000000000000004
471,0.000471
472,0.00047200000000000003
473,0.000473
474,0.00047400000000000003
475,0.00047500000000000005
476,0.000476
477,0.00047700000000000005
478,0.000478
479,0.00047900000000000004
480,0.00047999999999999996
481,0.000481
482,0.000482
483,0.000483
484,0.000484
485,0.00048499999999999997
486,0.000486
487,0.00048699999999999997
488,0.000488
489,0.000489
490,0.00049
491,0.000491
492,0.000492
493,0.000493
494,0.000494
495,0.000495
496,0.000496
497,0.000497
498,0.000498
499,0.000499
500,0.0005
501,0.000501
502,0.000502
503,0.000503
504,0.000504
505,0.000505
506,0.000506
507,0.000507
508,0.000508
509,0.000509
510,0.00051
511,0.0005110000000000001
512,0.000512
513,0.000513
514,0.000514
515,0.000515
516,0.000516
517,0.000517
518,0.000518
519,0.000519
520,0.0005200000000000001
521,0.000521
522,0.000522
523,0.000523
524,0.000524
525,0.0005250000000000001
526,0.000526
527,0.000527
528,0.000528
529,0.0005290000000000001
530,0.00053
531,0.000531
532,0.000532
533,0.000533
534,0.0005340000000000001
535,0.000535
536,0.000536
537,0.000537
538,0.0005380000000000001
539,0.000539
540,0.00054
541,0.000541
542,0.0005420000000000001
543,0.0005430000000000001
544,0.000544
545,0.000545
546,0.000546
547,0.0005470000000000001
548,0.0005480000000000001
549,0.000549
550,0.00055
551,0.0005510000000000001
552,0.0005520000000000001
553,0.000553
554,0.000554
555,0.000555
556,0.0005560000000000001
557,0.0005570000000000001
558,0.000558
559,0.000559
560,0.0005600000000000001
561,0.0005610000000000001
562,0.0005620000000000001
563,0.000563
564,0.000564
565,0.0005650000000000001
566,0.0005660000000000001
567,0.000567
568,0.000568
569,0.0005690000000000001
570,0.0005700000000000001
571,0.0005710000000000001
572,0.000572
573,0.000573
574,0.0005740000000000001
575,0.0005750000000000001
576,0.000576
577,0.0005769999999999999
578,0.000578
579,0.000579
580,0.00058
581,0.0005809999999999999
582,0.0005819999999999999
583,0.000583
584,0.000584
585,0.000585
586,0.0005859999999999999
587,0.000587
588,0.000588
589,0.000589
590,0.0005899999999999999
591,0.0005909999999999999
592,0.000592
593,0.000593
594,0.000594
